Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,Desired Height (in),Favorite Sport,Procastinator,Men or Women inspiration,Masculinity
1/9/2019 15:16,Ariana Grande,5 ft 4 inch,Atlanta,Julia Child,"Seoul, South Korea",4,no opinion,,hors d'oeuvre,3,More,1997,Run toward your discomfort.,64,Misc,0,0,0
1/9/2019 15:17,Coldplay,6 ft,New York,Barack Obama,China,5,no opinion,Soccer,hors d'oeuvre,4,Less,1920,"The journey of a thousand miles begins with one step.
-Lao Tzu",72,Soccer,0,1,3
1/9/2019 15:39,,5'10,Not sure but I like the North East,,Bora Bora,4,pizza,Baseball,daiquiri,4,Less,1980,This too shall pass,70,Baseball,0,1,7
1/9/2019 16:03,Shouta Shimizu BTS,168cm,Tokyo,dead,Kyoto,3,casserole,Figure skating,hors d'oeuvre,4,More,2018,,66,Misc,0,1,1
1/9/2019 16:15,Thomas Rhett,"6'6""",Chicago,,Santorini,5,pizza,Golf,daiquiri,5,More,1950,"""Our greatest glory is not in never falling, but in rising every time we fall""",78,Misc,0,1,5
1/9/2019 16:19,Queen,"5'4""",New York,Lady Gaga,Germany,5,pizza,Diving,hors d'oeuvre,4,Less,1960,Grow through what you go through,64,Misc,0,0,2
1/9/2019 16:25,Kendrick Lamar,6’6,Chicago ,Augustus Caesar ,Brazil (Amazon Rain forest),5,pizza,Football,daiquiri,3,More,2176,"“It matters not how strait the gate, How charged with punishments the scroll, I am the master of my fate:
I am the captain of my soul.” -William Ernest Henley",78,Football,0,2,8
1/9/2019 16:43,Florence and the Machine,"5'5""",New York City,Marie Curie,Norway,4,pizza,Basketball,hors d'oeuvre,4,Less,2050,“Creativity Is Intelligence Having Fun.” – Albert Einstein,65,Basketball,0,0,2
1/9/2019 17:14,Travis Scott,"6'6""",Chicago,Mark Wahlberg,Greece,5,pizza,Golf,hors d'oeuvre,6,More,2020,,78,Misc,0,2,8
1/9/2019 17:52,Breaking Benjamin,"current height. 5'3""",New York City,Larry Page & Sergey Brin,Bora Bora,3,casserole,Soccer,hors d'oeuvre,3,More,2200,“Always work hard on something uncomfortably exciting.” ,63,Soccer,0,2,8
1/9/2019 18:21,,6'0,San Diego,Yeezy,Italy,5,pizza,Hockey or Basketball,hors d'oeuvre,3,Less,1970,Just do it,72,Basketball,1,1,9
1/10/2019 0:30,One OK Rock,6',Tokyo,,New Orleans,5,no opinion,,hors d'oeuvre,3,Less,,,72,Misc,1,1,6
1/13/2019 23:39,Hans Zimmer - Film Composer,"5' 9""",London (UK) OR Reykjavik (Iceland),Dietrich Bonhoeffer,Dubai,4,pizza,Rugby,daiquiri,3,More,882 AD,What you focus on grows. ,69,Misc,1,2,7
8/25/2019 20:44,Ohgeesy,5'11,San Luis Obispo,Trump,Japan,4,pizza,Dota 2,liasion,3,More,the earliest year possible,"Be yourself, everyone else is taken.",71,Misc,0,2,10
8/26/2019 10:27,Higher Brother,1.85M,Beijing,Xiaoping Deng,Washington DC,3,no opinion,Basketball,hors d'oeuvre,1,More,1930,Knock on doors as many as you can as you are here.--Dr. Jim Sikora,73,Basketball,0,2,7
8/26/2019 11:39,Post Malone,6’2”,San Diego,Tiger Woods,Machu Picchu ,5,pizza,Football,hors d'oeuvre,4,More,2500,,74,Football,0,2,7
8/26/2019 11:39,"Bob Dylan, Sam Smith, James Blunt and a bunch of others","Same as now - 5'5""",Singapore,Charles Bukowski,Moon,3,no opinion,None,hors d'oeuvre,3,Less,1919,"I think, therefore I am.",65,Misc,0,2,3
8/26/2019 11:40,Cage the Elephant ,6 foot 9,Chicago,Robin Williams,Rome,5,pizza,Soccer,hors d'oeuvre,3,Less,1965,Pass,81,Soccer,0,2,4
8/26/2019 13:00,Rosalia,tall,Tokyo,Ana Mendieta,Berlin,3,casserole,soccer,lieutenant,5,Less,2070,When in doubt... you'll likely stare at your phone screen,74,Soccer,0,0,1
8/26/2019 13:25,Travis Scott,"6' 7""",Chicago,LeBron James,New Zealand,4,pizza,basketball,hors d'oeuvre,1,Less,2016,with great power comes great responsibility - Uncle Ben,79,Basketball,0,2,9
8/26/2019 13:30,Kanye West,6 foot 5,New York City,JFK,Arctic,5,pizza,Basketball,hors d'oeuvre,5,More,3019,Be the change you want to see in the world,77,Basketball,0,2,8
8/26/2019 13:35,All Time Low,"5'7""","Athens, Greece",Tina Fey,Ireland,5,pizza,Hockey,hors d'oeuvre,3,More,1985,"Be yourself, everyone else is already taken-Oscar Wilde",67,Hockey,0,0,1
8/26/2019 13:35,"The Weeknd, Halsey, multiple EDM artists ",6'3'',Manchester,I have no clue (Yoda maybe?),Bali or a tour of Europe,5,pizza,Soccer (the real football),liasion,5,Less,1999,"be you, cos everyone else is already taken (idk who this is by)",75,Football,0,1,8
8/26/2019 13:35,Odesza,5'8,"Cannes, France",My Great-Gramma,Bora Bora,5,no opinion,Football,accommodate,3,More,1960,"""Pain is temporary""",68,Football,0,0,5
8/26/2019 13:35,Against me,"5'8""",Berlin,Laura Jane Grace,Somewhere in Spain,5,pizza,Dance,lieutenant,2,Less,1977,The best revenge is to be better,68,Misc,0,0,2
8/26/2019 13:36,the rolling stones,6'9,nashville,,Antarctica ,4,pizza,hockey,hors d'oeuvre,5,More,1965,id rather surround myself with 10 lions than 100 sheep,81,Hockey,0,0,6
8/26/2019 13:42,Lana Del Rey,5'6,Los Angeles,Blake Lively,Spain,5,pizza,Tennis,daiquiri,5,Less,1983,"""Push yourself, because nobody else is going to do it for you.""",66,Misc,0,0,0
8/26/2019 13:44,Tech N9ne,5'11,San Francisco,JFK,Antarctica,5,pizza,Soccer,daiquiri,4,More,1963,"""Winning isn't about beating your opponent; its about making sure you surprise them, and that they never surprise you.""",71,Soccer,0,0,7
8/26/2019 13:55,Luke combs,5’8,Seattle,Rosa Parks,Hawaii,3,pizza,Basketball,hors d'oeuvre,6,Less,1992,"you live simple, you train hard, you live an honest life, then you are free",68,Basketball,0,0,7
8/26/2019 14:25,Paul Simon,"6'3""",Seattle,Caesar,Rome,5,casserole,Lacrosse,hors d'oeuvre,3,More,2500,"Don't wait for opportunity, create it.",75,Misc,0,0,6
8/26/2019 15:04,Rnb,5 feet 5 inches,Seattle,My Grandpa on my mothers side,Thailand ,4,casserole,Baseball,hors d'oeuvre,3,More,1998,There are years that ask questions and years that answer. Zora Neale Hurston,65,Baseball,0,0,6
8/26/2019 15:12,"To be completely honest, I don't really listen to music enough to have one. Sorry.","5'5""",Dublin,Catherine II the Great,The Netherlands,4,pizza,Poker,hors d'oeuvre,3,More,This one. The past is bad.,"""Courage is what it takes to stand up and speak out. Courage is also what it takes to sit down and listen.""",65,Misc,0,0,7
8/26/2019 15:25,Grateful Dead,My current height,Chicago,Mark Buehrle or Jerry Garcia,Italy,5,pizza,Baseball,hors d'oeuvre,4,Less,1965 or 1977,Constantly choosing the lesser of two evils is still choosing evil.,68,Baseball,0,0,10
8/26/2019 15:38,Ray Charles,6' 4'',Buenos Aires,My grandfather,"Sydney, Australia ",5,pizza,Football,hors d'oeuvre,7,Less,1776,The people who are crazy enough to think they can change the world are the ones who do-Steve Jobs,76,Football,0,0,9
8/26/2019 15:43,The Beatles,"5' 10""","Paris, France",John Muir,Stockholm Sweden ,4,casserole,Baseball,daiquiri,4,More,2050,"""Simplify. Simplify. Simplify"" - Henry David Thoreau ",70,Baseball,0,0,7
8/26/2019 16:05,country,5'8',"Melbourne, Australia",J. R. R. Tolkien,Iceland,5,pizza,hockey,hors d'oeuvre,3,More,1879,A flower does not think of competing with the flower next to it. It just blooms        -Zen Shin,68,Hockey,1,0,9
8/26/2019 16:07,Hiroyuki Namba,"My current height, 6'2""",Budapest,Marcus Tulius Cicero,Singapore,4,no opinion,Fencing,accommodate,4,More,1856,"It is no use painting the foot of the tree white, the strength of the bark cries out from beneath the paint. -Aimé Césaire",74,Misc,1,0,8
8/26/2019 17:39,Coldplay,"6'2""","Edinburgh, Scotland",Jesus Christ,"London, England",4,pizza,Football,hors d'oeuvre,4,Less,1700,"""Don't adventures ever have an end? I suppose not. Someone else always has to carry on the story."" -J. R. R. Tolkien",74,Football,1,0,4
8/26/2019 18:57,Jason Mraz,5.5ft,Beijing,My dad,France,3,no opinion,basketball,hors d'oeuvre,4,Less,1999, It always seems impossible until it’s done.,66,Basketball,1,0,3
8/26/2019 19:00,Beyonce,"5'5""","Freiburg, Germany",Trevor Noah,Singapore,4,casserole,Dance,hors d'oeuvre,3,More,2020,Let's never be the kind of people who do things lukewarmly. - David McCollough,65,Misc,1,0,3
8/26/2019 19:00,,,,,,,,,,5,,,Let's never be the kind of people who do things lukewarmly. - David McCollough,68,Misc,1,0,5
8/26/2019 21:07,JSP,6'5,Paris,Chopin,Spain,4,no opinion,soccer,accommodate,2,Less,0,“You Learn More From Failure Than From Success. Don’t Let It Stop You. Failure Builds Character.” ,77,Soccer,1,0,4
8/27/2019 17:34,"Bob Dylan, Sam Smith, James Blunt and a bunch of others","Same as now - 5'5""",Singapore,Charles Bukowski,Moon,3,no opinion,None,hors d'oeuvre,3,Less,1919,"I think, therefore I am.",65,Misc,1,0,2
1/3/2020 23:34,Kenshi Yonezu,"5'3""","Sydney, Australia",Sean Miyashiro,Dubai,3,pizza,Volleyball and figure skating,hors d'oeuvre,1,Less,1920,Push yourself because no one else is gonna do it for you,63,Misc,0,0,2
1/6/2020 15:25,Jimmy Buffett,"6'04""",London,Sir Author Conan Doyle,"Maui, Hawaii",3,pizza,Football,hors d'oeuvre,5,Less,1984,"""There's a lot of blood, sweat, and guts between dreams and success.""-Bear Bryant",76,Football,0,0,8
1/7/2020 13:32,,"6'1""",Denver,Elon Musk,Japan,4,pizza,Lacrosse,hors d'oeuvre,8,Less,3000,,73,Misc,0,0,7
1/8/2020 9:46,David Bowie,"5'6""",San Francisco,My paternal grandfather,London,5,no opinion,Roller Derby,hors d'oeuvre,2,Less,1976,"""I'm just an individual who doesn't feel that I need to have somebody qualify my work in any particular way. I'm working for me."" - Bowie",66,Misc,0,0,3
1/8/2020 11:44,Hozier,"5'8""",Amsterdam,Griffin McElroy ,Sweden,4,pizza,Baseball ,hors d'oeuvre,6,More,Sometime in the 1920s,Every day may not be a good day but there is good in every day.,68,Baseball,0,0,5
1/8/2020 11:48,Luke Combs,"6'5""",Boulder Colorado,Abraham Lincoln,Iceland ,4,pizza,Football,hors d'oeuvre,10,Less,2121,"""Hardships often prepare ordinary people for an extraordinary destiny."" - C. S. Lewis",77,Football,0,0,8
1/8/2020 13:32,Trippie Redd,6'3,Dubai,Trippe Redd,Italy,4,pizza,Football,daiquiri,6,Less,2286,"""Would you rather be feared or loved? Both. I want them to scared about how much they love me."" -Michael Scott",75,Football,0,0,10
1/8/2020 13:35,Trippie Redd ,"6'2""","Arcola, IL ",Tiger Woods ,Aruba ,5,no opinion,Football,hors d'oeuvre,4,More,1970,"""Winning isn't everything, it's the only thing."" - Vince Lombardi ",74,Football,0,0,9
1/8/2020 13:41,Lil Skies,6'4,Seattle,Genghis Khan,Dubai,5,pizza,Baseball,hors d'oeuvre,10,More,2000,Act as if what you do makes a difference. It does.,76,Baseball,0,0,10
1/8/2020 13:45,The Beatles,6 foot 4 inches,"Paris, France",Nikola Tesla,Greece,5,casserole,Football,daiquiri,3,More,1965,"With the new day comes new strength and new thoughts.

Eleanor Roosevelt",76,Football,0,0,8
1/8/2020 13:46,J balvin,6'3,Miami,Paul Walker,Europe,4,pizza,Football,hors d'oeuvre,3,More,1st year,"If you want to succeed, as bad as you want to breath. Then you will be successful ",75,Football,0,0,4
1/8/2020 13:47,chance the rapper,"6' 1""",san diego,virgil abloh,Bahamas,5,casserole,football,lieutenant,3,More,1992,the best way to ruin something amazing is to compare it to something else,73,Football,0,0,9
1/8/2020 13:49,Gorillaz,5'9,San Francisco,Chris Hemsworth,Cancun,4,pizza,Soccer,hors d'oeuvre,5,More,2008,"""Freedom is something you have to fight for, rather than something you're given. Being free means being prepared to carry that burden""",69,Soccer,0,0,3
1/8/2020 14:58,Bille Eilish,"5'7""",San Francisco,My Grandmother,Hawaii,5,pizza,Horse-riding,hors d'oeuvre,3,Less,1984,It always seems impossible until it's done - Nelson Mandela,67,Misc,0,0,0
1/8/2020 15:12,Ariana Grande,i like being 5'4'',Boston,My dad,Thailand,5,pizza,soccer,hors d'oeuvre,3,Less,2018,"""Think like a  queen. A queen is not afraid to fail. Failure is another stepping stone to greatness."" -Oprah",64,Soccer,0,0,0
